model_id,story_id,emotion,persona_id,temp_0_1,temp_0_4,temp_0_7,temp_0_9
anthropic/claude-sonnet-4.5,T2,interest,p4,72.0,72.0,72.0,72.0
anthropic/claude-sonnet-4.5,T2,sadness,p1,15.0,15.0,15.0,15.0
anthropic/claude-sonnet-4.5,T2,sadness,p2,15.0,15.0,16.0,15.0
anthropic/claude-sonnet-4.5,T2,sadness,p3,42.0,42.0,38.8,42.0
anthropic/claude-sonnet-4.5,T2,sadness,p4,0.0,6.0,5.2,5.6
anthropic/claude-sonnet-4.5,T2,surprise,p1,82.6,82.6,82.6,83.2
anthropic/claude-sonnet-4.5,T2,surprise,p2,72.0,72.0,72.2,75.6
anthropic/claude-sonnet-4.5,T2,surprise,p3,85.0,85.0,86.2,85.0
anthropic/claude-sonnet-4.5,T2,surprise,p4,70.0,68.0,72.0,70.0
anthropic/claude-sonnet-4.5,T3,anger,p1,65.0,66.6,65.0,66.8
anthropic/claude-sonnet-4.5,T3,anger,p2,56.0,66.4,61.8,61.0
anthropic/claude-sonnet-4.5,T3,anger,p3,65.6,71.0,72.2,68.6
anthropic/claude-sonnet-4.5,T3,anger,p4,16.0,16.0,14.0,11.0
anthropic/claude-sonnet-4.5,T3,interest,p1,72.0,75.0,73.2,74.4
anthropic/claude-sonnet-4.5,T3,interest,p2,75.0,78.2,76.8,74.4
anthropic/claude-sonnet-4.5,T3,interest,p3,75.6,75.6,78.8,77.6
anthropic/claude-sonnet-4.5,T3,interest,p4,49.0,49.0,43.0,43.0
anthropic/claude-sonnet-4.5,T3,sadness,p1,78.0,79.6,78.8,82.6
anthropic/claude-sonnet-4.5,T3,sadness,p2,70.0,79.0,74.4,72.6
anthropic/claude-sonnet-4.5,T3,sadness,p3,85.0,85.6,87.6,87.2
anthropic/claude-sonnet-4.5,T3,sadness,p4,19.0,17.0,15.0,16.0
anthropic/claude-sonnet-4.5,T3,surprise,p1,68.0,69.0,68.8,69.6
anthropic/claude-sonnet-4.5,T3,surprise,p2,65.0,71.2,68.8,66.6
anthropic/claude-sonnet-4.5,T3,surprise,p3,70.4,70.4,72.8,71.4
anthropic/claude-sonnet-4.5,T3,surprise,p4,35.0,33.0,27.0,29.0
deepseek/deepseek-v3.2,T1,anger,p1,5.0,9.0,9.0,7.0
deepseek/deepseek-v3.2,T1,anger,p2,5.0,8.0,6.0,11.0
deepseek/deepseek-v3.2,T1,anger,p3,9.0,9.0,12.0,10.0
deepseek/deepseek-v3.2,T1,anger,p4,0.0,0.0,0.0,2.0
deepseek/deepseek-v3.2,T1,interest,p1,71.0,72.0,70.0,74.0
deepseek/deepseek-v3.2,T1,interest,p2,70.0,72.0,75.0,69.0
deepseek/deepseek-v3.2,T1,interest,p3,77.0,79.0,77.0,79.0
deepseek/deepseek-v3.2,T1,interest,p4,40.0,35.0,34.0,45.0
deepseek/deepseek-v3.2,T1,sadness,p1,8.0,12.0,12.0,11.0
deepseek/deepseek-v3.2,T1,sadness,p2,10.0,10.0,8.0,11.0
deepseek/deepseek-v3.2,T1,sadness,p3,24.0,20.0,18.0,18.0
deepseek/deepseek-v3.2,T1,sadness,p4,0.0,0.0,0.0,1.0
deepseek/deepseek-v3.2,T1,surprise,p1,58.0,60.0,63.0,53.0
deepseek/deepseek-v3.2,T1,surprise,p2,40.0,44.0,53.0,48.0
deepseek/deepseek-v3.2,T1,surprise,p3,64.0,66.0,62.0,66.0
deepseek/deepseek-v3.2,T1,surprise,p4,18.0,12.0,14.0,22.0
deepseek/deepseek-v3.2,T2,anger,p1,30.0,32.0,17.0,18.0
deepseek/deepseek-v3.2,T2,anger,p2,20.0,17.0,13.0,13.0
deepseek/deepseek-v3.2,T2,anger,p3,23.0,26.0,18.0,18.0
deepseek/deepseek-v3.2,T2,anger,p4,13.0,5.0,4.0,7.0
deepseek/deepseek-v3.2,T2,interest,p1,83.0,79.0,81.0,79.0
deepseek/deepseek-v3.2,T2,interest,p2,77.0,75.0,74.0,80.0
deepseek/deepseek-v3.2,T2,interest,p3,85.0,84.0,79.0,78.0
deepseek/deepseek-v3.2,T2,interest,p4,59.0,64.0,63.0,65.0
deepseek/deepseek-v3.2,T2,sadness,p1,18.0,20.0,14.0,10.0
deepseek/deepseek-v3.2,T2,sadness,p2,10.0,10.0,10.0,11.0
deepseek/deepseek-v3.2,T2,sadness,p3,22.0,19.0,14.0,19.0
deepseek/deepseek-v3.2,T2,sadness,p4,3.0,1.0,1.0,2.0
deepseek/deepseek-v3.2,T2,surprise,p1,88.0,86.0,88.0,83.0
deepseek/deepseek-v3.2,T2,surprise,p2,83.0,83.0,85.0,76.0
deepseek/deepseek-v3.2,T2,surprise,p3,90.0,89.0,81.0,84.0
deepseek/deepseek-v3.2,T2,surprise,p4,70.0,70.0,71.0,74.0
deepseek/deepseek-v3.2,T3,anger,p1,24.0,28.0,32.0,29.0
deepseek/deepseek-v3.2,T3,anger,p2,40.0,32.0,34.0,45.0
deepseek/deepseek-v3.2,T3,anger,p3,50.0,44.0,31.0,44.0
deepseek/deepseek-v3.2,T3,anger,p4,15.0,6.0,21.0,15.0
deepseek/deepseek-v3.2,T3,interest,p1,69.0,67.0,68.0,75.0
deepseek/deepseek-v3.2,T3,interest,p2,74.0,70.0,72.0,69.0
deepseek/deepseek-v3.2,T3,interest,p3,81.0,77.0,79.0,73.0
deepseek/deepseek-v3.2,T3,interest,p4,44.0,41.0,45.0,46.0
deepseek/deepseek-v3.2,T3,sadness,p1,45.0,55.0,55.0,59.0
deepseek/deepseek-v3.2,T3,sadness,p2,77.0,79.0,76.0,66.0
deepseek/deepseek-v3.2,T3,sadness,p3,86.0,85.0,79.0,81.0
deepseek/deepseek-v3.2,T3,sadness,p4,28.0,11.0,23.0,20.0
deepseek/deepseek-v3.2,T3,surprise,p1,70.0,68.0,62.0,71.0
deepseek/deepseek-v3.2,T3,surprise,p2,62.0,54.0,59.0,45.0
deepseek/deepseek-v3.2,T3,surprise,p3,69.0,68.0,72.0,58.0
deepseek/deepseek-v3.2,T3,surprise,p4,31.0,21.0,28.0,18.0
google/gemini-2.5-pro,T1,anger,p1,0.0,2.0,0.0,0.0
google/gemini-2.5-pro,T1,anger,p2,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T1,anger,p3,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T1,anger,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T1,interest,p1,70.0,74.0,72.0,62.0
google/gemini-2.5-pro,T1,interest,p2,71.0,67.0,65.0,68.0
google/gemini-2.5-pro,T1,interest,p3,80.0,77.0,77.0,83.0
google/gemini-2.5-pro,T1,interest,p4,54.0,34.0,36.0,45.0
google/gemini-2.5-pro,T1,sadness,p1,0.0,2.0,0.0,0.0
google/gemini-2.5-pro,T1,sadness,p2,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T1,sadness,p3,14.0,14.0,10.0,13.0
google/gemini-2.5-pro,T1,sadness,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T1,surprise,p1,48.0,50.0,50.0,43.0
google/gemini-2.5-pro,T1,surprise,p2,40.0,38.0,36.0,48.0
google/gemini-2.5-pro,T1,surprise,p3,60.0,57.0,54.0,52.0
google/gemini-2.5-pro,T1,surprise,p4,8.0,10.0,8.0,14.0
google/gemini-2.5-pro,T2,anger,p1,2.0,3.0,1.0,4.0
google/gemini-2.5-pro,T2,anger,p2,1.0,2.0,5.0,10.0
google/gemini-2.5-pro,T2,anger,p3,10.0,8.0,5.0,10.0
google/gemini-2.5-pro,T2,anger,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T2,interest,p1,89.0,89.0,91.0,90.0
google/gemini-2.5-pro,T2,interest,p2,85.0,88.0,89.0,91.0
google/gemini-2.5-pro,T2,interest,p3,86.0,88.0,90.0,91.0
google/gemini-2.5-pro,T2,interest,p4,70.0,56.0,70.0,70.0
google/gemini-2.5-pro,T2,sadness,p1,10.0,10.0,10.0,8.0
google/gemini-2.5-pro,T2,sadness,p2,10.0,10.0,8.0,6.0
google/gemini-2.5-pro,T2,sadness,p3,20.0,22.0,18.0,26.0
google/gemini-2.5-pro,T2,sadness,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T2,surprise,p1,95.0,96.0,97.0,98.0
google/gemini-2.5-pro,T2,surprise,p2,95.0,95.0,96.0,94.0
google/gemini-2.5-pro,T2,surprise,p3,96.0,97.0,97.0,97.0
google/gemini-2.5-pro,T2,surprise,p4,91.0,84.0,91.0,90.0
google/gemini-2.5-pro,T3,anger,p1,82.0,81.0,83.0,81.0
google/gemini-2.5-pro,T3,anger,p2,84.0,84.0,81.0,82.0
google/gemini-2.5-pro,T3,anger,p3,86.0,82.0,85.0,84.0
google/gemini-2.5-pro,T3,anger,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T3,interest,p1,77.0,74.0,72.0,74.0
google/gemini-2.5-pro,T3,interest,p2,81.0,78.0,82.0,87.0
google/gemini-2.5-pro,T3,interest,p3,78.0,82.0,79.0,75.0
google/gemini-2.5-pro,T3,interest,p4,20.0,28.0,20.0,34.0
google/gemini-2.5-pro,T3,sadness,p1,78.0,82.0,82.0,77.0
google/gemini-2.5-pro,T3,sadness,p2,70.0,75.0,72.0,81.0
google/gemini-2.5-pro,T3,sadness,p3,88.0,89.0,89.0,87.0
google/gemini-2.5-pro,T3,sadness,p4,0.0,0.0,0.0,0.0
google/gemini-2.5-pro,T3,surprise,p1,58.0,50.0,54.0,54.0
google/gemini-2.5-pro,T3,surprise,p2,60.0,54.0,50.0,56.0
google/gemini-2.5-pro,T3,surprise,p3,54.0,60.0,60.0,54.0
google/gemini-2.5-pro,T3,surprise,p4,9.0,8.0,6.0,25.0
meta-llama/llama-4-maverick,T1,anger,p1,16.0,8.0,6.0,2.0
meta-llama/llama-4-maverick,T1,anger,p2,8.0,0.0,0.0,0.0
meta-llama/llama-4-maverick,T1,anger,p3,8.0,14.0,4.0,10.0
meta-llama/llama-4-maverick,T1,anger,p4,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick,T1,interest,p1,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T1,interest,p2,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T1,interest,p3,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T1,interest,p4,56.0,60.0,60.0,60.0
meta-llama/llama-4-maverick,T1,sadness,p1,4.0,12.0,18.0,18.0
meta-llama/llama-4-maverick,T1,sadness,p2,12.0,18.0,18.0,18.0
meta-llama/llama-4-maverick,T1,sadness,p3,20.0,20.0,20.0,20.0
meta-llama/llama-4-maverick,T1,sadness,p4,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick,T1,surprise,p1,60.0,60.0,60.0,56.0
meta-llama/llama-4-maverick,T1,surprise,p2,44.0,44.0,40.0,40.0
meta-llama/llama-4-maverick,T1,surprise,p3,60.0,60.0,60.0,60.0
meta-llama/llama-4-maverick,T1,surprise,p4,20.0,20.0,24.0,26.0
meta-llama/llama-4-maverick,T2,anger,p1,30.0,40.0,32.0,30.0
meta-llama/llama-4-maverick,T2,anger,p2,30.0,30.0,30.0,32.0
meta-llama/llama-4-maverick,T2,anger,p3,36.0,38.0,36.0,38.0
meta-llama/llama-4-maverick,T2,anger,p4,0.0,0.0,4.0,0.0
meta-llama/llama-4-maverick,T2,interest,p1,84.0,82.0,84.0,84.0
meta-llama/llama-4-maverick,T2,interest,p2,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T2,interest,p3,80.0,80.0,88.0,86.0
meta-llama/llama-4-maverick,T2,interest,p4,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T2,sadness,p1,16.0,20.0,16.0,18.0
meta-llama/llama-4-maverick,T2,sadness,p2,20.0,20.0,20.0,20.0
meta-llama/llama-4-maverick,T2,sadness,p3,20.0,20.0,20.0,20.0
meta-llama/llama-4-maverick,T2,sadness,p4,0.0,0.0,0.0,0.0
meta-llama/llama-4-maverick,T2,surprise,p1,90.0,88.0,90.0,86.0
meta-llama/llama-4-maverick,T2,surprise,p2,90.0,90.0,90.0,90.0
meta-llama/llama-4-maverick,T2,surprise,p3,90.0,90.0,82.0,84.0
meta-llama/llama-4-maverick,T2,surprise,p4,90.0,90.0,90.0,90.0
meta-llama/llama-4-maverick,T3,anger,p1,90.0,90.0,90.0,90.0
meta-llama/llama-4-maverick,T3,anger,p2,90.0,90.0,90.0,90.0
meta-llama/llama-4-maverick,T3,anger,p3,90.0,90.0,78.0,72.0
meta-llama/llama-4-maverick,T3,anger,p4,80.0,80.0,80.0,82.0
meta-llama/llama-4-maverick,T3,interest,p1,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T3,interest,p2,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T3,interest,p3,80.0,80.0,80.0,80.0
meta-llama/llama-4-maverick,T3,interest,p4,68.0,70.0,66.0,72.0
meta-llama/llama-4-maverick,T3,sadness,p1,66.0,68.0,66.0,64.0
meta-llama/llama-4-maverick,T3,sadness,p2,68.0,68.0,70.0,68.0
meta-llama/llama-4-maverick,T3,sadness,p3,70.0,70.0,78.0,82.0
meta-llama/llama-4-maverick,T3,sadness,p4,52.0,60.0,54.0,62.0
meta-llama/llama-4-maverick,T3,surprise,p1,64.0,62.0,64.0,66.0
meta-llama/llama-4-maverick,T3,surprise,p2,62.0,62.0,60.0,62.0
meta-llama/llama-4-maverick,T3,surprise,p3,60.0,60.0,64.0,66.0
meta-llama/llama-4-maverick,T3,surprise,p4,40.0,40.0,40.0,44.0
openai/gpt-5.4,T1,anger,p1,8.4,7.6,8.6,11.6
openai/gpt-5.4,T1,anger,p2,8.4,6.4,6.0,6.4
openai/gpt-5.4,T1,anger,p3,8.0,8.6,8.4,8.6
openai/gpt-5.4,T1,anger,p4,5.6,5.6,4.2,5.2
openai/gpt-5.4,T1,interest,p1,72.0,70.4,70.8,70.4
openai/gpt-5.4,T1,interest,p2,72.4,72.0,72.0,71.2
openai/gpt-5.4,T1,interest,p3,72.4,76.0,76.0,73.6
openai/gpt-5.4,T1,interest,p4,53.6,52.4,55.6,52.4
openai/gpt-5.4,T1,sadness,p1,7.6,7.6,7.6,8.0
openai/gpt-5.4,T1,sadness,p2,7.6,8.4,8.0,7.6
openai/gpt-5.4,T1,sadness,p3,11.6,13.2,12.4,12.4
openai/gpt-5.4,T1,sadness,p4,4.2,4.4,5.2,4.8
openai/gpt-5.4,T1,surprise,p1,58.6,57.6,57.2,58.2
openai/gpt-5.4,T1,surprise,p2,56.0,58.0,58.0,55.2
openai/gpt-5.4,T1,surprise,p3,58.0,60.2,60.4,58.0
openai/gpt-5.4,T1,surprise,p4,40.6,40.8,41.8,40.8
openai/gpt-5.4,T2,anger,p1,22.4,22.0,23.6,23.4
openai/gpt-5.4,T2,anger,p2,27.2,22.4,22.8,26.0
openai/gpt-5.4,T2,anger,p3,32.4,28.4,33.8,36.0
openai/gpt-5.4,T2,anger,p4,18.2,18.8,18.0,18.8
openai/gpt-5.4,T2,interest,p1,84.0,83.6,83.6,83.4
openai/gpt-5.4,T2,interest,p2,84.6,82.8,83.2,83.4
openai/gpt-5.4,T2,interest,p3,84.0,85.4,84.8,84.4
openai/gpt-5.4,T2,interest,p4,72.4,74.4,72.8,72.0
openai/gpt-5.4,T2,sadness,p1,18.0,18.0,18.0,18.0
openai/gpt-5.4,T2,sadness,p2,18.0,18.0,18.0,18.0
openai/gpt-5.4,T2,sadness,p3,26.8,24.0,28.0,26.8
openai/gpt-5.4,T2,sadness,p4,10.8,11.6,11.2,11.0
openai/gpt-5.4,T2,surprise,p1,90.6,89.6,90.4,90.4
openai/gpt-5.4,T2,surprise,p2,88.8,88.0,87.6,89.0
openai/gpt-5.4,T2,surprise,p3,91.4,91.8,91.6,91.2
openai/gpt-5.4,T2,surprise,p4,86.0,86.8,86.6,85.4
openai/gpt-5.4,T3,anger,p1,64.2,65.8,63.8,64.2
openai/gpt-5.4,T3,anger,p2,65.2,66.0,62.8,64.2
openai/gpt-5.4,T3,anger,p3,66.0,67.6,64.4,65.6
openai/gpt-5.4,T3,anger,p4,57.0,51.8,59.0,56.8
openai/gpt-5.4,T3,interest,p1,82.0,84.0,83.0,84.0
openai/gpt-5.4,T3,interest,p2,82.6,85.2,84.0,83.8
openai/gpt-5.4,T3,interest,p3,83.6,82.8,82.4,83.0
openai/gpt-5.4,T3,interest,p4,65.8,68.8,67.8,67.0
openai/gpt-5.4,T3,sadness,p1,75.4,73.6,71.8,73.0
openai/gpt-5.4,T3,sadness,p2,72.6,78.4,73.2,71.8
openai/gpt-5.4,T3,sadness,p3,87.2,88.0,88.0,88.0
openai/gpt-5.4,T3,sadness,p4,61.6,63.8,65.4,62.2
openai/gpt-5.4,T3,surprise,p1,74.0,76.4,76.4,76.8
openai/gpt-5.4,T3,surprise,p2,75.2,75.2,76.8,77.6
openai/gpt-5.4,T3,surprise,p3,74.8,75.2,73.6,76.8
openai/gpt-5.4,T3,surprise,p4,70.0,71.8,73.8,71.6
x-ai/grok-4.20,T1,anger,p1,15.0,15.0,15.0,16.0
x-ai/grok-4.20,T1,anger,p2,15.0,15.0,15.0,15.0
x-ai/grok-4.20,T1,anger,p3,15.0,15.0,15.0,15.0
x-ai/grok-4.20,T1,anger,p4,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,interest,p1,65.0,65.0,65.0,66.0
x-ai/grok-4.20,T1,interest,p2,65.0,65.0,65.0,65.0
x-ai/grok-4.20,T1,interest,p3,65.0,65.0,65.0,65.0
x-ai/grok-4.20,T1,interest,p4,20.0,20.0,20.0,24.0
x-ai/grok-4.20,T1,sadness,p1,10.0,10.0,10.0,12.0
x-ai/grok-4.20,T1,sadness,p2,10.0,10.0,10.0,10.0
x-ai/grok-4.20,T1,sadness,p3,20.0,21.0,22.0,21.0
x-ai/grok-4.20,T1,sadness,p4,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,surprise,p1,55.0,58.0,46.0,62.0
x-ai/grok-4.20,T1,surprise,p2,41.0,42.0,42.0,41.0
x-ai/grok-4.20,T1,surprise,p3,45.0,46.0,46.0,48.0
x-ai/grok-4.20,T1,surprise,p4,10.0,10.0,14.0,14.0
x-ai/grok-4.20,T2,anger,p1,32.0,35.0,31.0,32.0
x-ai/grok-4.20,T2,anger,p2,29.0,29.0,31.0,29.0
x-ai/grok-4.20,T2,anger,p3,35.0,39.0,35.0,37.0
x-ai/grok-4.20,T2,anger,p4,10.0,12.0,12.0,16.0
x-ai/grok-4.20,T2,interest,p1,70.0,70.0,70.0,71.0
x-ai/grok-4.20,T2,interest,p2,65.0,66.0,65.0,65.0
x-ai/grok-4.20,T2,interest,p3,65.0,69.0,65.0,72.0
x-ai/grok-4.20,T2,interest,p4,40.0,40.0,38.0,40.0
x-ai/grok-4.20,T2,sadness,p1,20.0,20.0,18.0,20.0
x-ai/grok-4.20,T2,sadness,p2,14.0,14.0,16.0,14.0
x-ai/grok-4.20,T2,sadness,p3,20.0,20.0,20.0,20.0
x-ai/grok-4.20,T2,sadness,p4,0.0,2.0,2.0,6.0
x-ai/grok-4.20,T2,surprise,p1,85.0,85.0,85.0,84.0
x-ai/grok-4.20,T2,surprise,p2,80.0,81.0,78.0,79.0
x-ai/grok-4.20,T2,surprise,p3,83.0,82.0,82.0,85.0
x-ai/grok-4.20,T2,surprise,p4,60.0,60.0,56.0,60.0
x-ai/grok-4.20,T3,anger,p1,45.0,44.0,47.0,46.0
x-ai/grok-4.20,T3,anger,p2,45.0,54.0,55.0,47.0
x-ai/grok-4.20,T3,anger,p3,65.0,69.0,55.0,53.0
x-ai/grok-4.20,T3,anger,p4,20.0,20.0,21.4,16.0
x-ai/grok-4.20,T3,interest,p1,65.0,65.0,65.0,65.0
x-ai/grok-4.20,T3,interest,p2,65.0,67.0,70.0,65.0
x-ai/grok-4.20,T3,interest,p3,73.0,75.0,71.0,71.0
x-ai/grok-4.20,T3,interest,p4,20.0,20.0,29.4,24.4
x-ai/grok-4.20,T3,sadness,p1,70.0,70.0,65.0,59.0
x-ai/grok-4.20,T3,sadness,p2,70.0,65.0,55.0,70.0
x-ai/grok-4.20,T3,sadness,p3,84.0,85.0,83.0,82.0
x-ai/grok-4.20,T3,sadness,p4,8.0,8.0,17.0,14.0
x-ai/grok-4.20,T3,surprise,p1,55.0,55.0,58.0,61.0
x-ai/grok-4.20,T3,surprise,p2,55.0,52.0,57.0,53.0
x-ai/grok-4.20,T3,surprise,p3,59.0,60.0,58.0,59.0
x-ai/grok-4.20,T3,surprise,p4,14.0,15.0,18.6,14.6
