model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share
deepseek/deepseek-v3.2,T3,anger,True,0,1838.75,82.25,362.75,0.15884,0.84116
deepseek/deepseek-v3.2,T3,interest,True,0,2629.25,22.25,80.25,0.029377,0.970623
deepseek/deepseek-v3.2,T3,sadness,True,0,9244.6875,13.6875,380.0625,0.039432,0.960568
deepseek/deepseek-v3.2,T3,surprise,True,0,4887.5,216.5,218.0,0.040962,0.959038
google/gemini-2.5-pro,T1,anger,True,0,0.75,0.75,2.25,0.6,0.4
google/gemini-2.5-pro,T1,interest,True,0,2992.1875,96.6875,282.5625,0.083811,0.916189
google/gemini-2.5-pro,T1,sadness,True,0,475.6875,4.6875,9.0625,0.018516,0.981484
google/gemini-2.5-pro,T1,surprise,True,0,4797.5,12.5,164.0,0.032971,0.967029
google/gemini-2.5-pro,T2,anger,True,0,145.6875,26.1875,44.5625,0.205891,0.794109
google/gemini-2.5-pro,T2,interest,True,0,1512.1875,70.6875,112.5625,0.066391,0.933609
google/gemini-2.5-pro,T2,sadness,True,0,938.75,4.75,44.25,0.044799,0.955201
google/gemini-2.5-pro,T2,surprise,True,0,157.6875,11.1875,30.5625,0.153243,0.846757
google/gemini-2.5-pro,T3,anger,True,0,20638.1875,4.1875,14.0625,0.000681,0.999319
google/gemini-2.5-pro,T3,interest,True,0,8468.1875,42.1875,176.5625,0.020325,0.979675
google/gemini-2.5-pro,T3,sadness,True,0,19987.25,15.25,77.25,0.003847,0.996153
google/gemini-2.5-pro,T3,surprise,True,0,5652.0,57.5,292.5,0.048734,0.951266
meta-llama/llama-4-maverick,T1,anger,True,0,235.0,77.0,127.0,0.289294,0.710706
meta-llama/llama-4-maverick,T1,interest,True,0,1323.0,3.0,9.0,0.006742,0.993258
meta-llama/llama-4-maverick,T1,sadness,True,0,914.75,66.75,92.25,0.085914,0.914086
meta-llama/llama-4-maverick,T1,surprise,True,0,3732.75,0.75,54.25,0.014322,0.985678
meta-llama/llama-4-maverick,T2,anger,True,0,3254.75,18.75,68.25,0.020423,0.979577
meta-llama/llama-4-maverick,T2,interest,True,0,49.0,17.0,37.0,0.359223,0.640777
meta-llama/llama-4-maverick,T2,sadness,True,0,1118.75,2.75,8.25,0.007303,0.992697
meta-llama/llama-4-maverick,T2,surprise,True,0,33.0,17.0,45.0,0.473684,0.526316
meta-llama/llama-4-maverick,T3,anger,True,0,297.0,51.0,195.0,0.359116,0.640884
meta-llama/llama-4-maverick,T3,interest,True,0,363.0,5.0,15.0,0.039164,0.960836
meta-llama/llama-4-maverick,T3,sadness,True,0,666.75,50.75,136.25,0.15959,0.84041
meta-llama/llama-4-maverick,T3,surprise,True,0,1421.0,29.0,21.0,0.014276,0.985724
openai/gpt-5.4,T1,anger,True,0,36.54,3.26,11.04,0.217152,0.782848
openai/gpt-5.4,T1,interest,True,0,1103.04,5.84,13.2,0.011764,0.988236
openai/gpt-5.4,T1,sadness,True,0,122.3075,0.9875,1.4425,0.011564,0.988436
openai/gpt-5.4,T1,surprise,True,0,872.9675,4.8275,8.6025,0.009705,0.990295
openai/gpt-5.4,T2,anger,True,0,422.7275,20.7675,29.0025,0.061381,0.938619
openai/gpt-5.4,T2,interest,True,0,368.33,1.17,5.21,0.013904,0.986096
openai/gpt-5.4,T2,sadness,True,0,467.5275,1.6475,7.3425,0.015409,0.984591
openai/gpt-5.4,T2,surprise,True,0,64.21,0.09,3.21,0.047549,0.952451
openai/gpt-5.4,T3,anger,True,0,239.13,0.75,40.75,0.145209,0.854791
openai/gpt-5.4,T3,interest,True,0,771.4875,5.8275,5.9025,0.007536,0.992464
openai/gpt-5.4,T3,sadness,True,0,1218.97,10.81,31.97,0.025338,0.974662
openai/gpt-5.4,T3,surprise,True,0,49.0,10.54,11.22,0.158564,0.841436
x-ai/grok-4.20,T1,anger,True,0,682.6875,0.1875,0.5625,0.000823,0.999177
x-ai/grok-4.20,T1,interest,True,0,5830.1875,4.6875,8.0625,0.00138,0.99862
x-ai/grok-4.20,T1,sadness,True,0,882.75,1.25,3.75,0.004224,0.995776
x-ai/grok-4.20,T1,surprise,True,0,4206.5,41.5,119.0,0.02725,0.97275
x-ai/grok-4.20,T2,anger,True,0,1339.0,13.5,28.5,0.020637,0.979363
x-ai/grok-4.20,T2,interest,True,0,2444.1875,15.6875,23.5625,0.009488,0.990512
x-ai/grok-4.20,T2,sadness,True,0,794.75,4.75,20.25,0.024703,0.975297
x-ai/grok-4.20,T2,surprise,True,0,1702.1875,9.1875,14.5625,0.008437,0.991563
x-ai/grok-4.20,T3,anger,True,0,3684.58,80.78,194.24,0.049055,0.950945
x-ai/grok-4.20,T3,interest,True,0,6099.57,21.79,66.07,0.010678,0.989322
x-ai/grok-4.20,T3,sadness,True,0,11576.1875,19.1875,278.5625,0.02346,0.97654
x-ai/grok-4.20,T3,surprise,True,0,5159.1075,14.7275,39.6825,0.007611,0.992389
