manifest_row,run_id,created_at_utc,catalog_id,model_id,provider,route,model_group,candidate_role,temperature,top_p,max_completion_tokens,reasoning_json,language,story_id,persona_id,repetition,system_prompt,user_template,response_schema,texts_dir,text_registry,persona_registry,system_prompt_sha256,user_template_sha256,response_schema_sha256,text_registry_sha256,persona_registry_sha256,git_commit,temperature_policy
11,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,google/gemini-2.5-pro,openrouter,openrouter,main_panel_candidates,frontier_reference,0.9,1.0,700,"{""exclude"": true, ""max_tokens"": 256}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
12,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,x-ai/grok-4.20,openrouter,openrouter,main_panel_candidates,flagship_current,0.1,1.0,700,"{""effort"": ""none"", ""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
13,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,x-ai/grok-4.20,openrouter,openrouter,main_panel_candidates,flagship_current,0.4,1.0,700,"{""effort"": ""none"", ""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
14,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,x-ai/grok-4.20,openrouter,openrouter,main_panel_candidates,flagship_current,0.7,1.0,700,"{""effort"": ""none"", ""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
15,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,x-ai/grok-4.20,openrouter,openrouter,main_panel_candidates,flagship_current,0.9,1.0,700,"{""effort"": ""none"", ""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
16,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,deepseek/deepseek-v3.2,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.1,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
17,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,deepseek/deepseek-v3.2,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.4,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
18,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,deepseek/deepseek-v3.2,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.7,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
19,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,deepseek/deepseek-v3.2,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.9,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
20,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,qwen/qwen3.6-plus,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.1,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
21,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,qwen/qwen3.6-plus,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.4,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
22,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,qwen/qwen3.6-plus,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.7,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
23,phase1_temperature_smoke_v1,2026-04-24T22:31:49+00:00,scis2026_model_candidates_smoke_v1,qwen/qwen3.6-plus,openrouter,openrouter,main_panel_candidates,efficient_high_end,0.9,1.0,700,"{""exclude"": true}",ja,T1,p2,1,prompts/scis/smoke_v1_system.md,prompts/scis/smoke_v1_user_template.md,prompts/shared/response_schema.json,data/catalogs/texts_private,configs/shared/texts_from_definitions.yaml,configs/shared/personas_from_definitions.yaml,30421a409008ba52b7e183f2a525ad97ace71717deaab1cac5ff052086fdcde4,285bbc6e9520c810cf3a4a66caaaee7952f2f1ab46de78f78e67b644effad71a,4d3bb3c6d727502b62367ba562d26a0d497f8d35c2dd43948054d3641013f8ab,7072279394ba641069fc7c1141569b984e318e10d9f59accef2b18f4e2601ef0,6439fd56cb363f634bed520fd2201c28ba71be83867364ef70c6344040da6308,d0195b0a9b855add41eed3438f067d09089a8876,api_parameter_only_not_prompt_text
